Epoch,Loss,Accuracy,Auc,Auc_roc,Auc_pr,Precision,Recall,F1_score,Hamming_loss,Map,V_loss,V_acc,V_auc,Val_auc_roc,Val_auc_pr,Val_precision,Val_recall,Val_f1_score,Val_hamming_loss,Val_map,LR,Next LR,Monitor,% Improv,Duration
1,0.14627891778945923,0.5414556264877319,0.9226111173629761,0.9226111173629761,0.5611078143119812,0.7675185203552246,0.34709665179252625,0.4381176233291626,0.034431520849466324,0.7052026987075806,0.1359771192073822,0.5653104782104492,0.944173276424408,0.944173276424408,0.6694203615188599,0.8026100993156433,0.40460526943206787,0.4803692400455475,0.032311104238033295,0.7449254393577576,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.0,236.77950072288513
2,0.1360296607017517,0.5871767401695251,0.9362287521362305,0.9362287521362305,0.6238657236099243,0.795705258846283,0.42457690834999084,0.5134934782981873,0.030996495857834816,0.7448983788490295,0.1261446326971054,0.6359742879867554,0.9533559083938599,0.9533559083938599,0.7389885783195496,0.8473520278930664,0.44736841320991516,0.536949634552002,0.029443256556987762,0.8004249334335327,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,12.5,175.78439116477966
3,0.12904773652553558,0.6202346086502075,0.94621342420578,0.94621342420578,0.6741061806678772,0.8074237704277039,0.4618942439556122,0.5508852005004883,0.029358837753534317,0.7742522358894348,0.12052669376134872,0.6605995893478394,0.9606622457504272,0.9606622457504272,0.7731260657310486,0.8666666746139526,0.48108553886413574,0.5812884569168091,0.027569593861699104,0.8219045400619507,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,8.257538419185394,169.25519800186157
4,0.12276913225650787,0.6538256406784058,0.952987551689148,0.952987551689148,0.708241879940033,0.8252660632133484,0.5054136514663696,0.5922220945358276,0.027245115488767624,0.8023683428764343,0.11309990286827087,0.6788008809089661,0.9630065560340881,0.9630065560340881,0.7966952323913574,0.8527528643608093,0.5476973652839661,0.6282401084899902,0.02542826533317566,0.8383997082710266,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,8.077169091265926,169.38300561904907
5,0.11702419817447662,0.6740869283676147,0.9589760899543762,0.9589760899543762,0.7425217628479004,0.8420966267585754,0.5387364625930786,0.6259864568710327,0.02546463906764984,0.8182036876678467,0.10801690071821213,0.7269807457923889,0.9674368500709534,0.9674368500709534,0.8264729380607605,0.8863345980644226,0.5707237124443054,0.65672367811203,0.023363415151834488,0.8642888069152832,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,4.533866787095403,168.49194073677063
6,0.11227874457836151,0.6996800899505615,0.9631110429763794,0.9631110429763794,0.7700167894363403,0.846455454826355,0.567328929901123,0.6511538624763489,0.02425544336438179,0.8367151618003845,0.10355208814144135,0.7269807457923889,0.9710694551467896,0.9710694551467896,0.852546751499176,0.9105793237686157,0.5945723652839661,0.6836308240890503,0.021566227078437805,0.8699623346328735,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,4.097179205472502,169.3403079509735
7,0.1067519411444664,0.7236737012863159,0.9679214358329773,0.9679214358329773,0.7971841096878052,0.8616624474525452,0.6069589257240295,0.6885617971420288,0.022213131189346313,0.859649658203125,0.10114151239395142,0.7291220426559448,0.9700747728347778,0.9700747728347778,0.8558744788169861,0.8850967288017273,0.6398026347160339,0.7122544050216675,0.020610278472304344,0.8762872815132141,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,4.1869939043135735,169.07989645004272
8,0.10156601667404175,0.7372700572013855,0.9722874760627747,0.9722874760627747,0.824661910533905,0.8774657845497131,0.6405971050262451,0.7194633483886719,0.020327912643551826,0.8723446130752563,0.0951157659292221,0.762312650680542,0.978775680065155,0.978775680065155,0.8715502619743347,0.9278106689453125,0.6447368264198303,0.7376368045806885,0.018851330503821373,0.900367021560669,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,3.563670421701195,170.42118573188782
9,0.09722974896430969,0.758597731590271,0.9763885736465454,0.9763885736465454,0.843399167060852,0.8804363012313843,0.6618312001228333,0.7376617193222046,0.019385304301977158,0.887688159942627,0.09351158887147903,0.7665953040122986,0.9780210256576538,0.9780210256576538,0.8850911259651184,0.912895917892456,0.6636512875556946,0.7453553080558777,0.018583664670586586,0.8988719582557678,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,1.04638264078713,170.19484305381775
10,0.09317266196012497,0.7747267484664917,0.9786984324455261,0.9786984324455261,0.8616631627082825,0.8923681974411011,0.6920004487037659,0.7632843255996704,0.01772860251367092,0.8999902606010437,0.08806908875703812,0.7901498675346375,0.9786505103111267,0.9786505103111267,0.8976060152053833,0.9194061756134033,0.7129934430122375,0.7845379114151001,0.016251148656010628,0.9167752861976624,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,5.256902706096376,168.444895029068
11,0.0884893387556076,0.7872567176818848,0.9822763800621033,0.9822763800621033,0.882668673992157,0.900212287902832,0.7131294012069702,0.7831717729568481,0.0165717676281929,0.9113399386405945,0.08406149595975876,0.7933619022369385,0.9823302030563354,0.9823302030563354,0.9146992564201355,0.9334719181060791,0.7384868264198303,0.8064579367637634,0.01460691262036562,0.9243226051330566,9.999999747378752e-06,9.999999747378752e-06,val_loss,4.550510120906738,168.34514021873474
12,0.08489931374788284,0.801386296749115,0.9841532707214355,0.9841532707214355,0.894806981086731,0.9025456309318542,0.7379375696182251,0.8013870716094971,0.015476821921765804,0.9210757613182068,0.08019798249006271,0.8211991190910339,0.982944130897522,0.982944130897522,0.9236130118370056,0.9348044395446777,0.7664473652839661,0.8309756517410278,0.013345060870051384,0.9378640055656433,9.999999747378752e-06,9.999999747378752e-06,val_loss,4.596056048711714,169.66581082344055
13,0.08237142860889435,0.8000532984733582,0.9850119948387146,0.9850119948387146,0.9071562886238098,0.9087100028991699,0.7523388862609863,0.8148047924041748,0.014638951048254967,0.9249324798583984,0.07720903307199478,0.8019272089004517,0.9860414266586304,0.9860414266586304,0.9308528900146484,0.9322200417518616,0.7804276347160339,0.8393253684043884,0.012847967445850372,0.9377676248550415,9.999999747378752e-06,9.999999747378752e-06,val_loss,3.7269633540198983,168.3308138847351
14,0.07824815064668655,0.8201813101768494,0.9880728721618652,0.9880728721618652,0.9209418892860413,0.9201242327690125,0.7786187529563904,0.8371684551239014,0.013086984865367413,0.9392343163490295,0.07468245923519135,0.8169164657592773,0.9878525137901306,0.9878525137901306,0.9358025789260864,0.9480000138282776,0.7796052694320679,0.847273051738739,0.012236159294843674,0.9489439129829407,9.999999747378752e-06,9.999999747378752e-06,val_loss,3.272381140231989,168.65152883529663
