epoch,auc,binary_accuracy,f1_score,loss,precision,recall,val_auc,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.9370805621147156,0.8335925340652466,0.8865323662757874,0.3323673605918884,0.9638739228248596,0.8206806182861328,0.9827727675437927,0.9129082560539246,0.9422680735588074,0.21056637167930603,0.9913232326507568,0.8978388905525208
1,0.9766070246696472,0.918610692024231,0.9462880492210388,0.18742769956588745,0.9913978576660156,0.9051046967506409,0.9851040244102478,0.9409019947052002,0.9615384340286255,0.16054478287696838,0.9916492700576782,0.9332023859024048
2,0.982001006603241,0.9263867139816284,0.951766312122345,0.16058969497680664,0.9894067645072937,0.9168848395347595,0.9857051372528076,0.917573869228363,0.9453044533729553,0.184689462184906,0.9956521987915039,0.8998035192489624
3,0.9868800640106201,0.9383100271224976,0.9597019553184509,0.1356898546218872,0.9943859577178955,0.9273560047149658,0.9865774512290955,0.9377915859222412,0.959432065486908,0.15107904374599457,0.9916142821311951,0.9292730689048767
4,0.9908132553100586,0.9476412534713745,0.965912938117981,0.1140710785984993,0.9972125291824341,0.9365183115005493,0.9871858954429626,0.9393467903137207,0.9604863524436951,0.14335879683494568,0.991631805896759,0.9312376976013184
5,0.9928761124610901,0.9564540982246399,0.9717552065849304,0.10239533334970474,0.9993084073066711,0.9456806182861328,0.9875597357749939,0.944012463092804,0.9639278650283813,0.12840180099010468,0.9836400747299194,0.9449901580810547
6,0.9946762323379517,0.9621565341949463,0.9755607843399048,0.08829356729984283,0.9986292123794556,0.9535340070724487,0.9874496459960938,0.9362363815307617,0.9582909345626831,0.15657687187194824,0.9936708807945251,0.9253438115119934
7,0.996844470500946,0.9699326157569885,0.9806795120239258,0.07365374267101288,0.998643159866333,0.963350772857666,0.9866287112236023,0.9486780762672424,0.9672942757606506,0.1206616759300232,0.9760000109672546,0.958742618560791
8,0.9969978928565979,0.971487820148468,0.9816849827766418,0.0653916448354721,0.9993220567703247,0.9646596908569336,0.9868266582489014,0.9486780762672424,0.9672942757606506,0.1214851513504982,0.9760000109672546,0.958742618560791
9,0.9984055161476135,0.9782270789146423,0.9860650300979614,0.05872521921992302,1.0,0.9725130796432495,0.9869953393936157,0.9486780762672424,0.9672942757606506,0.12319056689739227,0.9760000109672546,0.958742618560791
10,0.9986568093299866,0.9797822833061218,0.9870732426643372,0.05358177423477173,1.0,0.9744764566421509,0.9862915277481079,0.9409019947052002,0.9619238376617432,0.1359361857175827,0.9815950989723206,0.943025529384613
