Epoch,Loss,Accuracy,Auc,Auc_roc,Auc_pr,Precision,Recall,F1_score,Hamming_loss,Map,V_loss,V_acc,V_auc,Val_auc_roc,Val_auc_pr,Val_precision,Val_recall,Val_f1_score,Val_hamming_loss,Val_map,LR,Next LR,Monitor,% Improv,Duration
1,0.10584324598312378,0.5317248702049255,0.922773003578186,0.922773003578186,0.6197083592414856,0.7671175003051758,0.3383353650569916,0.42466408014297485,0.034719403833150864,0.69903165102005,0.14778225123882294,0.5802997946739197,0.9398936033248901,0.9398936033248901,0.7058295011520386,0.834296703338623,0.35608553886413574,0.44184646010398865,0.03322881460189819,0.7542426586151123,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.0,314.9145727157593
2,0.10022851079702377,0.5617168545722961,0.9332155585289001,0.9332155585289001,0.6671438813209534,0.777938723564148,0.3951434791088104,0.48214995861053467,0.03250085189938545,0.7249133586883545,0.14461705088615417,0.5856531262397766,0.9387331008911133,0.9387331008911133,0.7177534699440002,0.8327272534370422,0.37664473056793213,0.4583323299884796,0.03250229358673096,0.7558096051216125,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.9225113665368538,261.1329345703125
3,0.09744235873222351,0.5959743857383728,0.9376211166381836,0.9376211166381836,0.689423680305481,0.7948769330978394,0.41753390431404114,0.5069561004638672,0.03125832974910736,0.7507798671722412,0.13868896663188934,0.6295503377914429,0.9433516263961792,0.9433516263961792,0.7516768574714661,0.866328239440918,0.42105263471603394,0.5157251954078674,0.029940349981188774,0.7899357080459595,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,7.495428536941502,260.68421363830566
4,0.09446388483047485,0.6147693991661072,0.9422434568405151,0.9422434568405151,0.7119808197021484,0.802949070930481,0.44076526165008545,0.5305402278900146,0.030225280672311783,0.7644153237342834,0.13748084008693695,0.6284796595573425,0.9475566148757935,0.9475566148757935,0.7600557208061218,0.840266227722168,0.4152960479259491,0.5007619857788086,0.030858062207698822,0.7919371724128723,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,-0.17007031365536898,258.7567138671875
5,0.092006616294384,0.6279658675193787,0.9449321031570435,0.9449321031570435,0.7311926484107971,0.8160298466682434,0.4602123498916626,0.5512011051177979,0.029144616797566414,0.7765743136405945,0.12857024371623993,0.6745182275772095,0.9529867172241211,0.9529867172241211,0.7892481684684753,0.8660968542098999,0.5,0.5951970219612122,0.026843072846531868,0.8206628561019897,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,15.409723484712334,261.8414695262909
6,0.08993784338235855,0.6468941569328308,0.9490598440170288,0.9490598440170288,0.7432639002799988,0.8165596127510071,0.48102596402168274,0.5688794851303101,0.028397196903824806,0.7895931005477905,0.13028867542743683,0.6605995893478394,0.9509941935539246,0.9509941935539246,0.7969084978103638,0.885496199131012,0.47697368264198303,0.5758908987045288,0.02718721702694893,0.8124022483825684,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,-3.2436525292193905,258.98831963539124
7,0.08719506859779358,0.6563583016395569,0.9531967043876648,0.9531967043876648,0.7653623223304749,0.825421929359436,0.4935351610183716,0.5833387970924377,0.027664044871926308,0.7998034954071045,0.12666867673397064,0.659528911113739,0.9560858011245728,0.9560858011245728,0.8090434074401855,0.8794117569923401,0.49177631735801697,0.5877752304077148,0.026766598224639893,0.8206047415733337,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,-1.2469470242041933,263.80721855163574
8,0.08492982387542725,0.6719541549682617,0.9564923048019409,0.9564923048019409,0.7808972597122192,0.8421416282653809,0.5125617384910583,0.603859007358551,0.0264262892305851,0.8123201131820679,0.12240597605705261,0.6927194595336914,0.958394467830658,0.958394467830658,0.8217280507087708,0.9027777910232544,0.5345394611358643,0.6349573135375977,0.024319367483258247,0.8393834233283997,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,6.6801899386816155,257.37563276290894
9,0.08343803882598877,0.6814182996749878,0.9590688347816467,0.9590688347816467,0.7921003699302673,0.8445968627929688,0.5307474136352539,0.6189963817596436,0.025674110278487206,0.8206590414047241,0.12169768661260605,0.6884368062019348,0.9598556160926819,0.9598556160926819,0.8308195471763611,0.9059829115867615,0.5230262875556946,0.6250945925712585,0.024701746180653572,0.838238000869751,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,-1.5532888205334627,260.3821744918823
10,0.08173011988401413,0.689549446105957,0.9624892473220825,0.9624892473220825,0.802923321723938,0.8520282506942749,0.5453589558601379,0.6368103623390198,0.024879083037376404,0.8255271315574646,0.1194879487156868,0.6959314942359924,0.9583433270454407,0.9583433270454407,0.8344704508781433,0.8948087692260742,0.5386512875556946,0.6373900771141052,0.024395840242505074,0.8451710343360901,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,0.3831381298616253,258.0559422969818
