Epoch,Loss,Accuracy,Auc,Auc_roc,Auc_pr,Precision,Recall,F1_score,Hamming_loss,Map,V_loss,V_acc,V_auc,Val_auc_roc,Val_auc_pr,Val_precision,Val_recall,Val_f1_score,Val_hamming_loss,Val_map,LR,Next LR,Monitor,% Improv,Duration
1,0.09820134937763214,0.5109304189682007,0.9182359576225281,0.9182359576225281,0.5793486833572388,0.7646918296813965,0.2983502745628357,0.37784573435783386,0.036040276288986206,0.678098201751709,0.13863930106163025,0.5770878195762634,0.9354448318481445,0.9354448318481445,0.6659898161888123,0.8225806355476379,0.33552631735801697,0.41548365354537964,0.03426124528050423,0.736193060874939,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.0,523.3212172985077
2,0.09261471033096313,0.5469208359718323,0.9229910969734192,0.9229910969734192,0.6227095723152161,0.7787652015686035,0.3500472903251648,0.43252474069595337,0.033938564360141754,0.7053644061088562,0.13406457006931305,0.602783739566803,0.9411141276359558,0.9411141276359558,0.7132535576820374,0.8551307916641235,0.34950658679008484,0.4334496259689331,0.03299938514828682,0.7568955421447754,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,4.4526879824646475,428.7625331878662
3,0.08879824727773666,0.5647827386856079,0.9297332763671875,0.9297332763671875,0.6476696729660034,0.7912160754203796,0.37685272097587585,0.45878997445106506,0.03272460401058197,0.7224069833755493,0.12983575463294983,0.602783739566803,0.9442394375801086,0.9442394375801086,0.7268125414848328,0.8670309782028198,0.39144736528396606,0.47709107398986816,0.031087491661310196,0.760047197341919,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.0,449.22996187210083
4,0.08485299348831177,0.5890429019927979,0.9354122877120972,0.9354122877120972,0.6748613715171814,0.7938486933708191,0.40155577659606934,0.48557764291763306,0.03182484582066536,0.7409555315971375,0.12378508597612381,0.6295503377914429,0.9469738602638245,0.9469738602638245,0.7506995797157288,0.879858672618866,0.40953946113586426,0.4881282448768616,0.03005506470799446,0.7840114235877991,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,4.4404977220978115,428.4537971019745
5,0.08177389949560165,0.6055718660354614,0.9404024481773376,0.9404024481773376,0.6994158029556274,0.8056728839874268,0.4210028350353241,0.5054498314857483,0.030820351094007492,0.7548954486846924,0.120869942009449,0.6338329911231995,0.9499902725219727,0.9499902725219727,0.766861617565155,0.8555377125740051,0.43832236528396606,0.5246337652206421,0.0295579694211483,0.7921197414398193,9.999999747378752e-06,9.999999747378752e-06,val_accuracy,0.6802717868091029,429.02822518348694
6,0.07892685383558273,0.6193014979362488,0.943618893623352,0.943618893623352,0.7164353132247925,0.8178820610046387,0.443288117647171,0.5310181379318237,0.029682563617825508,0.766958475112915,0.11722850799560547,0.6573875546455383,0.9506689310073853,0.9506689310073853,0.7738969922065735,0.8700475692749023,0.45148026943206787,0.5377458333969116,0.02864026091992855,0.8105915784835815,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,2.4992802685422024,429.199725151062
7,0.07610958069562912,0.6371634006500244,0.9486011266708374,0.9486011266708374,0.733397364616394,0.8248324394226074,0.46578365564346313,0.5540862083435059,0.02867330238223076,0.7839975953102112,0.1145411804318428,0.6659528613090515,0.9557100534439087,0.9557100534439087,0.7924519777297974,0.8880248665809631,0.46957236528396606,0.5597708225250244,0.027416640892624855,0.8168379664421082,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,4.095799122976391,453.9494857788086
8,0.07328923046588898,0.6503599286079407,0.9507518410682678,0.9507518410682678,0.7522258162498474,0.8285661935806274,0.4750341773033142,0.5630794763565063,0.02822580561041832,0.7949188351631165,0.1105366125702858,0.7012848258018494,0.959199845790863,0.959199845790863,0.8039140701293945,0.8877400159835815,0.49424341320991516,0.578666090965271,0.02642245404422283,0.8338508009910583,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,3.375536501708585,437.1880416870117
9,0.07113765180110931,0.6675553321838379,0.9531726837158203,0.9531726837158203,0.7626177668571472,0.8326388597488403,0.504152238368988,0.5885828733444214,0.02704516611993313,0.8040194511413574,0.10692568123340607,0.7012848258018494,0.9579784274101257,0.9579784274101257,0.804266631603241,0.8777472376823425,0.5254934430122375,0.6086663007736206,0.02546650730073452,0.8384990096092224,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,5.184373212245141,448.67399764060974
10,0.06838323920965195,0.6819514632225037,0.9568471908569336,0.9568471908569336,0.7810622453689575,0.8344193696975708,0.5249658226966858,0.6097047328948975,0.026231104508042336,0.8184221386909485,0.10462343692779541,0.6980727910995483,0.96206134557724,0.96206134557724,0.8255088925361633,0.8847184777259827,0.5427631735801697,0.633080244064331,0.024548791348934174,0.8431464433670044,9.999999747378752e-06,9.999999747378752e-06,val_f1_score,4.011055525774977,456.5525486469269
